lamb,N,p,cpu_0,gap_0,cpu_1,gap_1,cpu_2,gap_2,clazy_2,cuser_2,cpu_3,gap_3,clazy_3,cuser_3
4,50,16,7200,56.256,4552.6939999999995,0,2351.507,0,15.6,3,3449.863,0.965,14,3
4,50,25,7200,45.71,1113.398,0,1226.901,0,11.8,3,2007.567,0,11.8,3
4,100,25,7200,83.194,7200,61.088,7200,67.178,16.3,3,7200,68.59100000000001,19.3,3
4,100,33,7200,84.114,7200,58.772,7200,60.577000000000005,16.6,3,7200,59.98,15.8,3
4,100,50,7200,83.572,7200,50.898,7200,50.789,13.8,3,7200,51.41,11.2,3
4,140,35,7200,84.958,7200,73.348,7200,74.459,17.2,3,7200,74.18,12.9,3
4,140,46,7200,85.846,7200,72.09,7200,73.42099999999999,17.9,3,7200,73.785,12.6,3
4,140,70,7200,87.158,7200,64.606,7200,64.469,15,3,7200,65.072,13.2,3
4,180,45,7200,85.834,7200,80.658,7200,80.106,6.4,3,7200,80.53200000000001,5.4,3
4,180,60,7200,86.846,7200,78.73400000000001,7200,77.537,12.1,3,7200,78.282,9.2,3
4,180,90,7200,87.786,7200,73.84,7200,73.785,16,3,7200,73.58500000000001,13.3,3
4,200,50,7200,86.412,7200,85.018,7200,85.583,3.8,3,7200,84.963,3.1,3
4,200,66,7200,87.092,7200,85.322,7200,85.45,3.8,3,7200,85.691,2.4,3
4,200,100,7200,87.89399999999999,7200,85.03,7200,86.355,4,3,7200,86.477,2.6,3
5,20,5,6.186,0,2.138,0,2.845,0,6,3,2.3689999999999998,0,5.6,3
5,20,6,72.246,0,133.8,0,4.805,0,5.6,3,37.729,0,6.2,3
5,20,10,2.696,0,130.904,0,34.722,0,5.2,3,3.955,0,5.2,3.2
5,30,7,4738.628,1.162,1123.962,0,1320.469,0,8.4,3,1098.643,0,8.8,3
5,30,10,1554.01,0,806.16,0,1338.401,0,6.6,3,1371.966,0,6,3
5,30,15,665.852,0,435.612,0,555.58,0,5.4,3,565.704,0,5.2,3
5,40,10,7200,12.648,7200,67.40599999999999,7200,86.489,9.7,3,7200,77.119,10.4,3
5,40,13,4409.486,1.258,6025.122,16.544,7200,92.753,9.3,3,7200,98.203,9.3,3
5,40,20,3850.102,0.146,4736.32,1.26,6743.831,16.980999999999998,6.8,3,5108.767,1.607,7.2,3
5,50,12,7200,4.894,7200,26.4,7200,90.165,11,3,7200,86.123,10.2,3
5,50,16,3512.466,1.1720000000000002,5135.556,2.9720000000000004,7200,49.553000000000004,8.6,3,7200,45.318,9.2,3
5,50,25,1707.648,0,1102.536,0,7200,24.525,5.8,3,7160.67,17.559,6.2,3
5,100,25,7200,47.486000000000004,7200,100,7200,100,8.5,3,7200,100,8.3,3
5,100,33,7200,41.362,7200,100,7200,100,8.6,3,7200,100,9.6,3
5,100,50,7200,25.88,7200,100,7200,100,8.4,3,7200,100,9,3
5,140,35,7200,44.156,7200,100,7200,100,8.2,3,7200,100,7.9,3
5,140,46,7200,39.072,7200,100,7200,100,8.4,3,7200,100,9.2,3
5,140,70,7200,29.674,7200,100,7200,100,8.7,3,7200,100,7.6,3
5,180,45,7200,77.13,7200,100,7200,100,4.3,3,7200,100,3.6,3
5,180,60,7200,35.636,7200,100,7200,100,6.6,3,7200,100,6.4,3
5,180,90,7200,27.633999999999997,7200,100,7200,100,6.5,3,7200,100,6.1,3
5,200,50,7200,88.414,7200,100,7200,100,3.4,3,7200,100,3.4,3
5,200,66,7200,87.654,7200,100,7200,100,4.9,3,7200,100,3.4,3
5,200,100,7200,58.968,7200,100,7200,100,3.4,3,7200,100,3.2,3
6,20,5,79.352,0,1.358,0,1.587,0,6.6,3,1.612,0,7,3
6,20,6,164.98,0,1.976,0,66.779,0,6.6,3,2.2279999999999998,0,6.4,3
6,20,10,89.802,0,1.644,0,1.948,0,7,3,1.3860000000000001,0,7.6,3
6,30,7,7200,12.290000000000001,31.82,0,293.69,0,7.2,3,193.13299999999998,0,7.6,3
6,30,10,6482.948,6.976,168.374,0,229.393,0,7.8,3,339.03000000000003,0,8.4,3
6,30,15,3911.852,5.374,94.33200000000001,0,253.614,0,8.6,3,156.615,0,8.4,3
6,40,10,7200,61.56,4110.526,0,4291.811,0,9,3,4674.376,0.02,9.2,3
6,40,13,7200,66.354,3315.682,0,3595.904,0,10,3,3977.433,0,8.4,3
6,40,20,7200,15.267999999999999,208.388,0,327.902,0,8.2,3,416.753,0,9,3
6,50,12,7200,37.734,1662.13,0,2991.148,0,8.4,3,2658.546,0,9,3
6,50,16,7200,41.702,1729.014,0,2301.274,0,7.4,3,2105.033,0,7.4,3
6,50,25,7200,37.48,528.252,0,1370.925,0,7.6,3,1291.403,0,9.2,3
6,100,25,7200,77.966,7200,46.622,7200,60.1,12,3,7200,59.701,9.8,3
6,100,33,7200,80.122,7200,45.84,7200,55.96,9.2,3,7200,55.398,8.2,3
6,100,50,7200,83.698,7200,44.104,7200,60.672,8.6,3,7200,63.38,9.4,3
6,140,35,7200,80.126,7200,57.512,7200,63.033,9.7,3,7200,61.708999999999996,8.4,3
6,140,46,7200,82.16,7200,55.646,7200,62.056,10.3,3,7200,60.366,7.9,3
6,140,70,7200,84.768,7200,55.690000000000005,7200,69.459,9.2,3,7200,69.14,7.1,3
6,180,45,7200,80.822,7200,81.358,7200,80.75800000000001,5.5,3,7200,80.071,3.7,3
6,180,60,7200,83.222,7200,81.696,7200,73.826,7.5,3,7200,81.32900000000001,4.8,3
6,180,90,7200,85.318,7200,66.684,7200,79.20100000000001,8.8,3,7200,85.244,5.1,3
6,200,50,7200,81.568,7200,88.344,7200,88.422,3.8,3,7200,90.023,2.6,3
6,200,66,7200,83.806,7200,90.428,7200,90.146,6,3,7200,90.32600000000001,2.5,3
6,200,100,7200,85.094,7200,90.99600000000001,7200,90.424,4.8,3,7200,90.677,2.8,3
7,20,5,650.916,0,1.088,0,0.899,0,1.6,0.4,33.034,0,3,1.2
7,20,6,553.328,0,0.992,0,0.696,0,1.8,0.3,32.786,0,3.4,0.6
7,20,10,515.306,0,0.558,0,0.521,0,1.6,0.1,0.432,0,3.2,0.6
7,30,7,7200,57.178000000000004,23.476,0,142.404,0,1.6,0.3,76.24,0,3.2,0.4
7,30,10,6942.958,22.689999999999998,10.234,0,73.096,0,1.6,0.1,70.626,0,3,0.4
7,30,15,6436.51,4.016,7.132,0,5.1160000000000005,0,1.5,0.1,36.033,0,3,0.2
7,40,10,7200,94.766,644.026,0,466.34,0,1.9,0.1,338.629,0,3.6,0
7,40,13,7200,85.426,356.556,0,224.65,0,1.5,0,179.337,0,3,0
7,40,20,7200,10.84,16.446,0,44.382,0,1.6,0.1,9.534,0,3.2,0.2
7,50,12,7200,78.748,132.874,0,113.385,0,1.5,0.1,100.485,0,3.2,0
