lamb,ins,N,p,cpu_0,gap_0,cpu_1,gap_1,cpu_2,gap_2,clazy_2,cuser_2,cpu_3,gap_3,clazy_3,cuser_3
5,19,200,80,3713.85,0,7200,100,7200,100,3,3,7200,100,3,3
5,20,200,133,7200,75,7200,100,7200,100,3,3,7200,100,3,3
6,1,50,5,211.68,0,19.61,0,33.65,0,9,3,30.35,0,13,3
6,2,50,10,1005.97,0,73.62,0,57.69,0,9,3,58.94,0,9,3
6,3,50,10,6327.98,0,721.42,0,370.06,0,9,3,378.31,0,9,3
6,4,50,20,165.04,0,16.19,0,23.47,0,8,3,18.34,0,7,3
6,5,50,33,70.63,0,10.74,0,9.49,0,7,3,9.23,0,6,3
6,6,100,5,7200,31.25,7200,25.790000000000003,5609.32,0,7,3,7200,20.23,9,3
6,7,100,10,7200,44.190000000000005,7200,23.330000000000002,4333.01,0,7,3,7200,4.78,7,3
6,8,100,20,7200,4.79,1381.14,0,1092.08,0,10,3,1692.59,0,8,3
6,9,100,40,7200,54.169999999999995,2275.62,0,3689.34,0,7,3,5915.17,0,5,3
6,10,100,67,7200,2.56,4863.41,0,4441.72,0,7,3,5195.55,0,10,3
6,11,150,5,7200,42.980000000000004,7200,57.699999999999996,7200,28.499999999999996,5,3,7200,30.36,4,3
6,12,150,10,7200,38.39,7200,26.72,7200,24.27,4,3,7200,12.509999999999998,7,3
6,13,150,30,7200,39.09,7200,51.33,7200,60.51,5,3,7200,60.51,5,3
6,14,150,60,7200,31.819999999999997,2907.64,0,3147.99,0,6,3,1231.68,0,5,3
6,15,150,100,7200,61,7200,32.97,7200,62.09,7,3,7200,70.37,5,3
6,16,200,5,7200,42.449999999999996,7200,56.67,7200,51.739999999999995,4,3,7200,53.239999999999995,5,3
6,17,200,10,7200,48.480000000000004,7200,66.62,7200,54.87,4,3,7200,58.489999999999995,3,3
6,18,200,40,7200,60.529999999999994,7200,70.26,7200,72.31,5,3,7200,73.83999999999999,5,3
6,19,200,80,7200,64.84,7200,74.3,7200,76.3,4,3,7200,79.33,4,3
6,20,200,133,7200,61.17,7200,70.48,7200,76.1,5,3,7200,76.51,5,3
